Name	Counts
MMPRNT_1465.fastq	26558
MMPRNT_1466.fastq	23234
MMPRNT_1467.fastq	30167
MMPRNT_1468.fastq	20881
MMPRNT_1469.fastq	43589
MMPRNT_1470.fastq	24517
MMPRNT_1471.fastq	19101
MMPRNT_1472.fastq	8334
MMPRNT_1473.fastq	20563
MMPRNT_1474.fastq	24376
MMPRNT_1475.fastq	24494
MMPRNT_1476.fastq	27060
MMPRNT_1477.fastq	29245
MMPRNT_1478.fastq	21007
MMPRNT_1479.fastq	25254
MMPRNT_1480.fastq	21024
MMPRNT_1481.fastq	25592
MMPRNT_1482.fastq	27864
MMPRNT_1483.fastq	26131
MMPRNT_1484.fastq	26582
MMPRNT_1485.fastq	29838
MMPRNT_1486.fastq	27248
MMPRNT_1487.fastq	12025
MMPRNT_1488.fastq	12245
MMPRNT_1537.fastq	16055
MMPRNT_1538.fastq	23568
MMPRNT_1539.fastq	14138
MMPRNT_1540.fastq	30812
MMPRNT_1541.fastq	18296
MMPRNT_1542.fastq	25140
MMPRNT_1543.fastq	20657
MMPRNT_1544.fastq	12363
MMPRNT_1545.fastq	32118
MMPRNT_1546.fastq	24387
MMPRNT_1547.fastq	15440
MMPRNT_1548.fastq	17916
MMPRNT_1549.fastq	16557
MMPRNT_1550.fastq	4568
MMPRNT_1551.fastq	16411
MMPRNT_1552.fastq	19915
MMPRNT_1553.fastq	13236
MMPRNT_1554.fastq	16820
MMPRNT_1555.fastq	22362
MMPRNT_1556.fastq	43466
MMPRNT_1557.fastq	29831
MMPRNT_1558.fastq	2668
MMPRNT_1559.fastq	10365
MMPRNT_1616.fastq	14410
MMPRNT_1617.fastq	15033
MMPRNT_1618.fastq	19367
MMPRNT_1619.fastq	24756
MMPRNT_1620.fastq	20198
MMPRNT_1621.fastq	19447
MMPRNT_1622.fastq	15928
MMPRNT_1623.fastq	22883
MMPRNT_1624.fastq	24740
MMPRNT_1625.fastq	19742
MMPRNT_1626.fastq	19386
MMPRNT_1627.fastq	25275
MMPRNT_1628.fastq	19027
MMPRNT_1629.fastq	14796
MMPRNT_1630.fastq	15439
MMPRNT_1631.fastq	13970
MMPRNT_1632.fastq	20691
MMPRNT_1681.fastq	21864
MMPRNT_1682.fastq	18667
MMPRNT_1683.fastq	19273
MMPRNT_1684.fastq	17926
MMPRNT_1685.fastq	22251
MMPRNT_1686.fastq	18935
MMPRNT_1687.fastq	20542
MMPRNT_1688.fastq	14730
MMPRNT_1689.fastq	24285
MMPRNT_1690.fastq	23411
MMPRNT_1691.fastq	22285
MMPRNT_1692.fastq	18054
MMPRNT_1693.fastq	21252
MMPRNT_1694.fastq	23307
MMPRNT_1695.fastq	24991
MMPRNT_1696.fastq	31645
MMPRNT_1697.fastq	21238
MMPRNT_1698.fastq	24371
MMPRNT_1699.fastq	15341
MMPRNT_1700.fastq	20830
MMPRNT_1701.fastq	20739
MMPRNT_1702.fastq	18729
MMPRNT_1703.fastq	22666
MMPRNT_1704.fastq	26158
MMPRNT_1753.fastq	21003
MMPRNT_1754.fastq	25312
MMPRNT_1755.fastq	22156
MMPRNT_1756.fastq	4077
MMPRNT_1757.fastq	21155
MMPRNT_1758.fastq	23991
MMPRNT_1759.fastq	22038
MMPRNT_1760.fastq	17818
MMPRNT_1761.fastq	29181
MMPRNT_1762.fastq	33025
MMPRNT_1763.fastq	23868
MMPRNT_1764.fastq	21691
MMPRNT_1765.fastq	10963
MMPRNT_1766.fastq	21846
MMPRNT_1767.fastq	25485
MMPRNT_1768.fastq	33097
MMPRNT_1769.fastq	31016
MMPRNT_1770.fastq	33613
MMPRNT_1771.fastq	19903
MMPRNT_1772.fastq	22580
MMPRNT_1773.fastq	20741
MMPRNT_1774.fastq	28763
MMPRNT_1775.fastq	29690
MMPRNT_1776.fastq	29352
MMPRNT_Ctrl7BB5.fastq	17607
